track_id,track_name,album_id,artist_ids,artist_names,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo
2KpOQtEJ1twefxHOt4JwfF,I Can Tell,2WV0udFNKIrNvwaaGAfy0I,['5ILgJERmX20rZuVVDQ7z5P'],['504 Boyz'],0.733,2000,0.0299,0.767,210334,0.546,1,0.0,11,0.111,-12.002,1,52,2000-05-02,0.23,80.04899999999998
7jA5OcunWRSYXq98puhAX8,For the Damaged Coda,5ozMQsDFl6QNqB2bGiMuHU,['5isqImG0rLfAgBJSPMEVXF'],['Blonde Redhead'],0.0763,2000,0.795,0.499,157000,0.468,0,0.88,0,0.0899,-9.995,0,61,2000-06-06,0.0396,141.463
42Kv1RoTAm09FeytxiuZIB,Knife Prty,5LEXck3kfixFaA3CqVE7bC,['6Ghvu1VvMGScGpOUJBAHNH'],['Deftones'],0.118,2000,0.00025,0.295,289200,0.883,0,0.0234,0,0.1369999999999999,-3.897,0,56,2000-05-16,0.0446,74.483
5lduUBDO2K74wlWcReMTJ8,Chingon De Chingones,5avrr5irqBn8LlbMlagxz2,['7HYgqp51TBXZdtjinjkQuZ'],['Los Razos'],0.899,2000,0.586,0.698,209773,0.675,1,2.97e-06,9,0.125,-10.201,1,55,2000-03-07,0.0512,115.184
0uMn8WKu3qtQLaUyal1bsz,Mastermind,04uhhcjGVCHodMgZjXOlye,"['2efzHZrUGhawnSOTpyAHOQ', '0YsLR3SQd5QTXAhGIGX7cl', '4fv5w0LJib9OMbXQegqZ01', '2s0438sn0pYL2OuukcFqPN']","['Deltron 3030', 'Del The Funky Homosapien', 'Dan The Automator', 'Kid Koala']",0.25,2000,0.00224,0.741,214307,0.657,0,0.0075599999999999,0,0.0825,-9.589,0,54,2000,0.0374,94.211
0vg3uOKR9IEaaPXl4zGw1G,Outlaw Women,7C47twqxgIByOAH9b5Ysh7,['2dyeCWctcFRt3Pha76ONgb'],"['Hank Williams, Jr.']",0.204,2000,0.631,0.723,182467,0.148,0,0.00419,2,0.115,-19.922,1,51,2000-08-22,0.0407,129.097
15joiMls8SpP1VtGivYh6i,Who Knew,6t7956yu5zYf5A829XRiHC,['7dGJo4pcD2V6oG8kP0tJRR'],['Eminem'],0.7929999999999999,2000,0.135,0.855,227760,0.596,1,0.0,7,0.139,-4.147,1,56,2000-05-23,0.307,100.894
0yEhNqCwEfy8LHUmnZoHpP,Bohemian Like You,0vdIT4p5OlKOcEzYKSsqn4,['7siPLyFwRFYQkKgWKJ5Sod'],['The Dandy Warhols'],0.6940000000000001,2000,0.00315,0.584,211707,0.931,0,0.772,9,0.133,-6.158,1,67,2000-01-01,0.0344,131.275
1ueOEwIxlCAivSC8ZrA5xW,One by One,2ioso1tqQ5zABQDVYyiUi5,['6uothxMWeLWIhsGeF7cyo4'],['Enya'],0.233,2000,0.87,0.529,236667,0.24,0,0.815,1,0.109,-13.203,1,60,2000-11-11,0.0335,131.442
1Qn5jElT7XqjvVeJ8pYM2w,A Teenager's Romance,1bZHbHtUvjGqUOKNla4lo0,['73sSFVlM6pkweLXE8qw1OS'],['Ricky Nelson'],0.6829999999999999,2000,0.784,0.51,140773,0.484,0,0.0,10,0.306,-6.942,1,57,2000-01-01,0.038,103.356
6KkAC41nNRiWA6w3ZD9cJ8,Jump in the Line,3hqCOVZ5hZacsYjmOvXZWr,['6Tw1ktF4xMmzaLLbe98I2z'],['Harry Belafonte'],0.868,2000,0.6759999999999999,0.601,224733,0.8,0,0.0,9,0.611,-9.509,0,53,2000-07-25,0.322,113.612
1mxTCArq9EhSg4QPGqhjhT,The Call,41zXjyVr6dzmchWf8tv3UO,['5rSXSAkZ67PYJSvpUpkOr7'],['Backstreet Boys'],0.747,2000,0.117,0.696,204800,0.8740000000000001,0,0.0,10,0.331,-3.318,0,61,2000-11-21,0.0772,104.196
4qsVPnhbvEooD1bSNqvvh0,Let It Be - Remastered 2015,7vEJAtP3KgKSpOHVgwm3Eh,['3WrFJ7ztbogyGnTHbHJFl2'],['The Beatles'],0.483,2000,0.58,0.445,230440,0.436,0,2.63e-05,0,0.112,-8.536,1,60,2000-11-13,0.0332,139.84799999999998
